Date,Open,Close,High,Low,Volume,Amount,Amplitude,PctChg,Change,Turnover
2024-08-14,39.50,38.77,39.50,38.72,138747,546930863.00,1.99,-1.00,-0.39,0.95
2024-08-15,38.17,39.15,39.65,38.15,259556,1023365884.00,3.87,0.98,0.38,1.78
2024-08-16,39.16,39.20,39.64,38.96,186334,738201662.00,1.74,0.13,0.05,1.28
2024-08-19,39.21,39.66,40.13,39.04,206497,827013337.00,2.78,1.17,0.46,1.42
2024-08-20,39.66,38.68,39.67,38.54,209447,821224054.00,2.85,-2.47,-0.98,1.44
2024-08-21,38.47,38.66,39.04,38.47,137136,536270325.00,1.47,-0.05,-0.02,0.94
2024-08-22,38.74,36.17,38.96,36.03,489856,1830086324.00,7.58,-6.44,-2.49,3.36
2024-08-23,36.18,36.04,36.69,35.45,345197,1256574997.00,3.43,-0.36,-0.13,2.37
2024-08-26,36.06,35.34,36.24,34.82,314781,1126715768.00,3.94,-1.94,-0.70,2.16
2024-08-27,35.11,34.67,35.21,34.49,208373,730526106.00,2.04,-1.90,-0.67,1.43
2024-08-28,34.67,34.96,35.14,34.48,168931,593794116.00,1.90,0.84,0.29,1.16
2024-08-29,34.77,35.24,35.68,34.55,224848,800585560.00,3.23,0.80,0.28,1.54
2024-08-30,35.24,36.54,36.94,35.16,365379,1343474958.00,5.05,3.69,1.30,2.50
2024-09-02,36.53,35.29,36.73,35.27,239585,866086331.00,4.00,-3.42,-1.25,1.64
2024-09-03,35.29,35.51,35.78,35.12,150839,540134482.00,1.87,0.62,0.22,1.03
2024-09-04,34.96,35.12,35.41,34.82,133841,474778956.00,1.66,-1.10,-0.39,0.92
2024-09-05,35.25,35.37,35.91,35.21,151854,543965395.00,1.99,0.71,0.25,1.04
2024-09-06,35.31,33.98,35.64,33.73,287804,1001962845.00,5.40,-3.93,-1.39,1.97
2024-09-09,33.84,34.18,34.26,33.76,149419,514322952.00,1.47,0.59,0.20,1.02
2024-09-10,34.18,35.63,36.20,33.90,312971,1107585245.00,6.73,4.24,1.45,2.15
